Review Title,Reviewer Name,Reviewer Location,Review Time,Verified,Review,Aircraft Model,Type Of Traveller,Seat Type,Route,Date flown,Overall Rating,Seat rating,Cabin rating,Food rating,Inflight Entertainment rating,Ground rating,Value of money,Recommended
Very comfortable flight,Alwaleed Althani,Qatar,2026-04-06,Not Verified,My first experience on the Qatar Airways new Boeing 787-9 and they are equipped with a Qsuite while the 787-8 still has the old product. Wonderful IFE though it did not have Starlink WiFi just the old system. Very comfortable flight.,Boeing 787-9,Family Leisure,Business Class,Doha to Johannesburg,April 2026,10/10,5.0,5.0,4.0,5.0,5.0,4,yes
no realistic re-routing options,C Barlanek,Czech Republic,2026-03-15,Trip Verified,"My flight from Bangkok to Prague on 15 March was canceled due to the Middle East conflict 3 days before departure via email. No alternative was provided other than a flight a week later. ​Zero Communication: I sent 6 emails, tried the hotline repeatedly, used Live Chat, and reached out on X but absolute silence. No offer of accommodation, meals, no realistic re-routing options. I was forced to buy a new ticket with China Airlines at my own expense to get home",A380-800,Couple Leisure,Economy Class,Prague to Bangkok via Doha,February 2026,1/10,,,,,,2,no
a great lie-flat seat,Eelco van den Heuvel,Netherlands,2026-03-15,Trip Verified,"By far the cheapest option on short notice between Amsterdam and Bangkok. Paid little over 800 euros for a return. which was a very good price. Got the chance of an upgrade to business class however for a good price and decided to treat myself. From the moment you step on board you feel welcome. Adressed by your name and the stewardesses introduce themselves. Welcome drinks, dine on demand, great food, a great lie-flat seat and the cabin almost felt homely. Second leg equally good. I love the lounge in the A380. Relaxed boarding and out in no time.  Unfortunately my return flight was cancelled 4 times due to the conflict in the Middle East. I must say that I saw a lot of complaints about QR in which the airline was accused of not responding or not being reachable. My experience is different. I had to call them 4 times and I must I got through pretty quick. Yes, off course there is a waiting time in such an extreme situation. They easily booked me on a new flight every time it was cancelled. Since I could work from Thailand, I was not in a big hurry to get a flight home. After the last cancellation I requested to book me on another airline. Which was granted promptly.",A350/A380,Solo Leisure,Business Class,Amsterdam to Bangkok via Doha,February 2026,10/10,5.0,5.0,5.0,3.0,4.0,5,yes
Ticket was cheap,R Jones,United Kingdom,2026-02-18,Trip Verified,Check in chaos and bag drop took over one hour mostly due to extensive documentation checks by staff and oversized baggage. Boarding chaos and staff dealing with people in raised tone to control the volatile situation. Food main was tasty if the whole tray was rather small and main was cold (but tasty and edible). Cabin groomed to a high standard as were the staff.  I ordered a beer and it didn’t appear until a polite reminder 20 minutes later. Ticket was cheap so no real complaints. Would try again and hope for an improvement in check in and service levels.,Boeing 87,Business,Economy Class,Gatwick to Doha,February 2026,5/10,4.0,2.0,2.0,,1.0,5,yes
experience was not one of our best,Colin Kay,United Kingdom,2026-02-08,Trip Verified,"My wife and I have flown Qatar many times, but this experience was not one of our best. Hard product was good, although the 777 used on the DOH-MLE-DOH sector must be one of the oldest in their fleet and feels it. Soft product was not up to scratch on the LGW-DOH leg. This was a holiday flight and my wife and I like our wine. The brut champagne ran out before we were an hour into the flight, and the sauvignon blanc ran out before we were half way through the six hour flight.",,Couple Leisure,Business Class,London to Male via Doha,February 2026,5/10,5.0,5.0,1.0,,5.0,3,no
No compensation offered,R Morsch,Austria,2026-02-05,Trip Verified,"Bought a Business Class Lite ticket with no lounge access. First flight in QSuites was fine. In Doha our plane to Vie was 4 hours late due to operational reasons. No compensation offered, nothing. Flight itself was ok with a very mediocre lunch.",Boeing 777-300 / A350-900,Couple Leisure,Business Class,Doha to Vienna,February 2026,2/10,4.0,4.0,2.0,4.0,1.0,1,no
changed my pre arranged seat,Andrew Buckley,Ireland,2026-01-30,Trip Verified,"Parts of the seat in business class were broken and I wouldn't be able to use the arm rest. They changed my pre arranged seat to another, and when I asked why the ground staff said we can change your seat.",,Business,Business Class,Sydney to Doha,January 2026,2/10,,,,,4.0,2,no
predictably high-quality product,Rajan Parrikar,Iceland,2026-01-24,Trip Verified,"Goa (Mopa) to Doha in Business Class on a Boeing 787-8. The short three-hour flight departed on time. The cabin featured Qatar Airways’ older Business Class configuration rather than the Qsuite, but the seat remained very comfortable. On-board service was efficient and unobtrusive. Overall, a predictably high-quality product from this airline.",Boeing 787-8,Solo Leisure,Business Class,Goa to Doha,January 2026,9/10,5.0,3.0,,,5.0,4,yes
my seat was cramped,Rajan Parrikar,Iceland,2026-01-24,Trip Verified,"Doha to Copenhagen in Business Class on a Boeing 787-9. The aircraft, about 6 years old, carried Qatar Airways’ pre-Qsuite Business Class cabin. In theory, still a premium product, but my seat was cramped and uncomfortable. The stewardess was disengaged, showed no warmth, and operated on autopilot, as if merely ticking boxes rather than attending to passengers. This was an unusually poor Qatar Airways Business Class experience.",Boeing 787-9,Solo Leisure,Business Class,Doha to Copenhagen,January 2026,4/10,2.0,1.0,3.0,,5.0,4,yes
very impressed with the service,J Keshy,Ireland,2026-01-18,Trip Verified,"It was a fantastic experience from start to finish. The crew was professional, friendly, and helpful. I want to give a special mention to crew member named Denise whose service was outstanding. Additionally, the cabin manager was engaging and ensured everything ran smoothly. I am very impressed with the service and look forward to flying with Qatar Airways again.",,Solo Leisure,Economy Class,Dublin to Muscat via Doha,January 2026,10/10,4.0,5.0,5.0,4.0,5.0,5,yes
excellent service provided,Michael Schade,Germany,2026-01-14,Trip Verified,"Check in at Frankfurt Terminal 2 fast and friendly. Contract lounge average with poor F/B choices. Boarding not well organized despite having many gate agents on duty. I was asked to take a seat in the separate business class section of the waiting area. The section was already occupied by economy class pax since there was nobody to check the boarding passes at the entrance to the section. The flight itself was uneventful with decent food and drinks with excellent service provided by the chief purser of the flight being in charge of my side of the cabin. He worked tirelessly throughout the night and even explained the different wines; something which I never experienced after 100+ flights on Qatar. It’s unfortunate that I can’t recall his name, but I remember that he was from Malaysia. Arrival in Doha was unfortunately at another bus gate, despite having so many available contact gates. This cut my visit at the Al Safwa lounge short and there was just time to have a quick coffee. The flight to BKK on a full A380 was uneventful with again great service provided. Food on this flight was average. WiFi did not work throughout the flight",Boeing 787-8 / A380,Solo Leisure,Business Class,Frankfurt to Bangkok via Doha,December 2025,8/10,3.0,5.0,3.0,4.0,4.0,3,yes
food choices ran out,Jamie King,Portugal,2026-01-11,Trip Verified,"A complete lack of communication when trying to get in touch about baggage that was lost en route. The Chat on WhatsApp hasn't been answered in over 30 hours and the email I sent, not responded to so far. I called customer service who offered no help other than telling me to go to the website and couldn't offer any useful answer. On the flight the service was inconsistent. Twice, the food choices ran out offering only 2 meals on a duration of 17 hours. The in flight entertainment options were good but the seats were on the small side.",,Family Leisure,Economy Class,Auckland to Lisbon via Doha,January 2026,4/10,2.0,3.0,3.0,4.0,4.0,2,no
"elegance, comfort, and hospitality",Iman Yusuf,Austria,2026-01-11,Trip Verified,"From the moment I stepped aboard my Qatar Airways flight in Djibouti on January 8, 2026, until arrival Milan Malpensa the following day, I was enveloped in a world of elegance, comfort, and hospitality.  The cabin crew on both legs of my journey Djibouti to Doha, and Doha to Milan were nothing short of extraordinary. Their warmth, professionalism, and genuine attentiveness elevated every moment onboard.  Before I could even glance toward my empty glass, a smiling attendant was already offering a refill.  The cuisine was restaurant-quality and paired with premium beverages. Even the snacks between meals were memorable. And when I mentioned how much I enjoyed the chips, they brought me a second chips with a smile.  My stopover in Hamad Airport was magical and transformed my layover into a luxurious interlude. The seamless transit, spotless facilities, and intuitive design made navigating the airport effortless and even enjoyable.",A320 / A350-900,Family Leisure,Economy Class,Djibouti to Milan via Doha Hamad,January 2026,10/10,5.0,5.0,5.0,5.0,5.0,5,yes
Catering was average,Michael Schade,Thailand,2026-01-08,Trip Verified,"Check in, security check and immigration at BKK airport efficient and friendly. Contract lounge at the new Satellite Terminal average. There was an aircraft change from an ex CX aircraft with their premium economy seats, which I booked to an A380. Seat on the small economy section upstairs was quiet and reasonably comfortable. WiFi did not work. Catering was average with no butter, cheese or crackers. Main meal was ok. Service was fast and friendly. Boarding of the last sector at Doha airport was disorganized. After being toldat that the flight was not ready to board at boarding time and to take a seat, boarding started a minute later. Unfortunately, that was just half the case because the aircraft wasn’t ready and everyone had to wait on the airbridge for 20 minutes. The flight was uneventful with the same catering issues as the previous flight. WiFi was patchy, but worked at times. Flight arrived 20 min ahead of schedule. Service was somehow slow on this red eye flight.",A380/B788,Solo Leisure,Economy Class,Bangkok to Frankfurt via Doha,December 2025,5/10,4.0,4.0,2.0,4.0,3.0,2,yes
like a first class experience,J Calenski,United Kingdom,2026-01-06,Trip Verified,As a business class traveller the service with Qatar is excellent. The check in at Heathrow seamless and the lounge offers excellent range of food and drink along with flight announcements. I was fortunate to fly the Qsuite on both legs of the journey. It offers so much privacy and the in demand dining is a bonus. You are made to feel special and to be honest its more like a first class experience. I used Al Maha services to transit it was literally a 10 min transfer from the airbridge to the lounge and when it was time to board I was collected and fast tracked to board my second,Boeing 777,Solo Leisure,Business Class,Heathrow to Perth via Doha,December 2025,10/10,4.0,5.0,5.0,3.0,5.0,5,yes
deeply disappointing,Nenad Vukusic,Croatia,2026-01-01,Trip Verified,"Due to bad weather, the Abu Dhabi–Doha flight was delayed and then cancelled, causing a missed connection to Zagreb. Weather disruptions happen — that is not my complaint. The issue was the lack of assistance from Qatar Airways. There was no support, no hotel, no transport, no guidance. I was left to handle everything on my own for more than 24 hours at the airport. I am a Qatar Airways Gold member, and this experience was deeply disappointing.",,Solo Leisure,Economy Class,Abu Dhabi to Doha ,December 2025,1/10,1.0,,,,1.0,1,no
an incredible experience,Chantal van der Merwe,South Africa,2025-12-30,Not Verified,"This was an incredible experience. We always make use of Qatar airways but this time I decided to write a review! Very clean, neat, professional, friendly, humble. I had no problem or complaint. The absolute perfect ending to our European Holiday!",Boeing 787-9 / A350-1000,Couple Leisure,Business Class,Munich to Johannesburg via Doha,December 2025,10/10,4.0,5.0,5.0,5.0,5.0,5,yes
go-to airline for long travel,Mohamed Alkowari,Bahrain,2025-12-26,Trip Verified,Qatar Airways is currently my go-to airline for long travel and that’s for a good reason. The extra legroom seat was super comfortable and the food was very very delicious. The infotainment had an up to date library and the screens were huge. The complimentary Starlink Wifi was amazing and reliable.,,Solo Leisure,Economy Class,Tokyo Narita to Doha,December 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,yes
ate and drank all that I wanted,Anders Pedersen,Rwanda,2025-12-26,Trip Verified,"Flew Qatar from Casablanca to Doha on Xmas eve 2025. This was the 2nd leg oof three flights across Africa with QR and partners. A350-900, on time. Was checked in earlier. Came directly from hotel to gate upon immigration and security. Boarding clear but tedious as flight was completely full. Onboard FAs were busy but managed well the full flight and did not run out of any foods or drinks despite the flight were for 7 hours I ate and drank all that I wanted. Even French sparkling wine was given ad libitum and people appeared to consume a lot on a Christmas eve. Felt in love with their fish dish, purely wild catch. Two other hot dishes were offered. IFE functioned fully; easy to navigate. In Doha I was given a 4-star hotel paid by carrier as next flight (with Rwandair) was 8 hours ahead. This, despite that I had lost my status in their frequent flyer program and was unrecognised. Luggage transfers went smooth. Miles given instantly.",A350-900,Solo Leisure,Economy Class,Casablanca to Doha,December 2025,8/10,3.0,3.0,4.0,4.0,4.0,4,yes
Crew was hard working,J Mursen,Germany,2025-12-24,Trip Verified,"Crew was hard working again on both legs. HAN - DOH: My snack, chicken sandwich or calzone was bad. My meal, fried rice with shrimp, was bad, almost no shrimp inside,only chopped pieces) DOH -DUS: We were bussed to the plane which took very long. Food was not as announced on the app but was good, butter and salt provided on inquiry.",Boeing 787,Couple Leisure,Economy Class,Hanoi to Dusseldorf via Doha,December 2025,7/10,2.0,5.0,3.0,3.0,3.0,4,yes
revelation on this flight was Starlink,Rajan Parrikar,Iceland,2025-12-22,Trip Verified,"Doha to Goa in Business Class on the 787-8. This aircraft carried Qatar Airways’ older pod-style Business Class seat. While not a Qsuite, it remains exceptionally comfortable. Onboard service, long a Qatar hallmark, was superb once again. Taken as a whole, this Business Class product sits at the pinnacle of commercial aviation, only a shade below the First Class offerings still found on select airlines. The revelation on this flight was Starlink. With fast, reliable Wi-Fi, the distinction between ground and inflight connectivity has all but vanished. A new era has begun.",Boeing 787-8,Solo Leisure,Business Class,Doha to Goa,December 2025,10/10,5.0,5.0,,,4.0,4,yes
at the top of the industry,Rajan Parrikar,Iceland,2025-12-22,Trip Verified,"Copenhagen to Doha in Business Class on the 787-8. Qatar Airways fielded the older pod-style Business Class seat on this aircraft - short of the Qsuite experience, but still exceptionally comfortable. Service was warm, attentive, and efficient throughout. At this point, Qatar’s Business Class feels like a mature, confidently delivered product, and it is easy to understand why the airline remains at the top of the industry. The sole disappointment was connectivity: this aircraft was not fitted with Starlink, and the paid Wi-Fi was mediocre. Where it matters, though - punctuality and comfort - Qatar continues to set the standard.",Boeing 787-8,Solo Leisure,Business Class,CPH to DOH,December 2025,10/10,5.0,5.0,5.0,,4.0,4,yes
remains my choice of airline,Mercy Alexander,United States,2025-12-17,Trip Verified,"I recently flew with Qatar Airways and had an excellent experience from start to finish. From check-in to arrival, everything felt well-organized and professional. Qatar remains my choice of airline for my home travels as due to convenience, less stops, better service and experience. I flew American from Dallas to Doha and had to pay for my second baggage even as an international passenger and will have to pay for return ticket too. I would request Qatar Airways to advocate for second baggage free when partnering customers who have to fly American and Qatar. That would be a great service to passengers. Boarding was smooth, and the flight itself was calm and well-managed. Small details — like frequent check-ins from the crew and overall comfort — really stood out and made the journey enjoyable. Everyone at Qatar was courteous. I love the airport assistance that is available throughout and would like to send kudos for managing it so efficiently. Overall, Qatar Airways delivered a high-quality travel experience, and I would confidently choose them again and recommend them to others.",,Solo Leisure,Economy Class,Philadelphia to Nagpur via Doha,December 2025,9/10,5.0,5.0,5.0,5.0,5.0,5,yes
quite underwhelming,T Lusillo,Australia,2025-12-17,Trip Verified,"My experience was quite underwhelming, the segments I took were delayed minimum 1 hour. Forget about oneworld alliance status to access priority boarding or any of the perks partner airlines traditionally give, with Qatar I needed to constantly ask them and they don’t seem to like reciprocating the entitlements. The plane from Melbourne to Doha had seen better days, the cabin was uncomfortable and tired, the toilets were filthy.",,Family Leisure,Economy Class,Doha to Paris ,November 2025,3/10,2.0,1.0,3.0,3.0,2.0,4,no
remains my airline of choice,Ahmed Almannaei,United Arab Emirates,2025-12-16,Trip Verified,"As a frequent traveler and a loyal Privilege Club member, I choose Qatar Airways for the exceptional level of service they provide. From the moment of check-in to arrival, the experience is seamless and well-organized. The cabin crew are highly professional, attentive, and focused on passenger comfort. The on-board product reflects premium quality, with excellent seating comfort, in-flight entertainment, and high standards of hospitality. Hamad International Airport continues to set a global benchmark for efficiency and passenger experience. Qatar Airways’ commitment to service excellence is evident in every journey. Qatar Airways remains my airline of choice, and I highly recommend them to anyone seeking reliability, comfort, and world-class service.",A320 / Boeing 787-8,Couple Leisure,Business Class,Sharjah to Phuket via Doha,December 2025,10/10,5.0,5.0,5.0,5.0,5.0,5,yes
excellent and memorable,Mauro Tostes,Brazil,2025-12-15,Not Verified,"The experience felt consistently refined and genuinely human. Qatar Airways delivers a level of customer service that is calm, professional, and warm — never forced, always attentive. The cabin comfort, quality of materials, and overall fit and finish of the aircraft clearly reflect a strong attention to detail. Everything feels intentional and well maintained, creating a sense of ease throughout the journey. A special highlight was the vegan special meal. It was thoughtfully prepared, flavorful, and clearly designed with care rather than treated as an afterthought. As someone who pays close attention to service details, I can say that while there is always room for small refinements in any premium operation, the overall execution was excellent and memorable.",Boeing 787,Business,Economy Class,Sao Paulo to Moscow via Doha,December 2025,10/10,5.0,5.0,5.0,5.0,5.0,4,yes
no compensation has been issued,T Kalan,United States,2025-12-15,Trip Verified,"Qatar Airways lost my bag and I finally received the bag at my destination in Muscat after 3 days. They requested me to submit several documents that I complied with. It has been over 3 months, no compensation has been issued to me. I have spent countless hours trying to resolve the issue. I have called their customer service call centers many times. I have sent dozens of emails. Nothing has worked so far.",A350,Solo Leisure,Economy Class,Boston to Muscat via Doha,August 2025,1/10,3.0,4.0,3.0,3.0,1.0,1,no
only one meal,G Murtens,Germany,2025-12-14,Trip Verified,"Small, mediocre meal, no salt and butter provided. On a 6 hour flight only one meal, no pre-landing snack. Wine served in small doses in plastic sparkling wine glasses. No amenity kit. Other than that, the crew was hard working Seats in Boeing 787 have a weird de-reclining behaviour, sometimes making the crew having to push the seats",Boeing 787,Couple Leisure,Economy Class,Dusseldorf to Doha,December 2025,6/10,3.0,4.0,2.0,3.0,5.0,4,no
completely grateful of the gesture,L Kan,United States,2025-12-13,Trip Verified,"On Oct 14, 2025, I was scheduled to fly from DOH to BOS with Qatar in business class with my mom. However, I had this extreme pain in my stomach (I later found out to be kidney stone) and during checkin I was told I could not fly as I had to head to the hospital. Since I was in a foreign country, I did not want any major procedures or imaging due to insurance coverage. About 4 hours later, I was discharged from the hospital and headed back to Doha airport to reschedule my alternative flight as my original flight has already taken off. Since I booked the flight using partner airline miles, Qatar told me they could not do anything and instead I need to speak with the partner. Ultimately I did manage to reach the partner airline through online chat and they told me I need to cancel and rebook but since it was a no show since I missed the flight there is nothing they can so. Thinking through even if I was able to cancel, there is absolutely no way I can book last minute tickets using the original miles.  I explained to the Qatar manager my chat with the partner airline and he still said there is nothing they can do but then stepped away to discuss the matter with other employees. After 10 minutes he came back and said your health is the most important thing, just let us know when you would like to fly, tomorrow or any time we will take care of you. urned out there were 2 business class seats available for the following day and we were able to get on. Qatar did not need to do this but they did and I am completely grateful of the gesture and customer service. For those of you who have flown business with Qatar out of Doha know the business class check in area and the employees there willing to help. I’m not sure if I would have gotten the same level of service in economy but I am forever grateful.",,Family Leisure,Business Class,Doha to Boston,October 2025,10/10,5.0,5.0,5.0,4.0,5.0,5,yes
give no butter or salt and pepper,P Ferris,Australia,2025-12-09,Trip Verified,"The only plus was that it had Starlink wifi. Other than that, food came out far less than other airlines, large breaks in-between food services, kids were starving on way home from doha to Brisbane leg. They give no butter or salt and pepper as a standard with food. Having four flights with Qatar on the round trip, each plane staff enforced different rules for the baby bassinet, one staff refused to let child use at all saying he was too big.  They have no courtesy baby strollers at the airport including Doha airport.",,Family Leisure,Economy Class,Brisbane to Barcelona via Doha,December 2025,4/10,2.0,2.0,2.0,4.0,2.0,2,no
Service was surprisingly inattentive,S Parlin,United States,2025-12-07,Trip Verified,"The Q-Suites hard product was excellent—comfortable seating, strong privacy, and a great screen (9/10). Unfortunately my food was largely inedible (dry, overcooked chicken and stale bread), and meal service was confusing, with my presumed lunch entrée served at breakfast and no option to change. Service was surprisingly inattentive, and I had to request basic items like bedding. No additional meal was offered to me on a 15-hour flight. The service lacked the proactive care I expected.",Boeing 777-300er,Solo Leisure,Business Class,Doha to Seattle,December 2025,5/10,5.0,2.0,1.0,,2.0,2,no
a very comfortable way to travel,G Mayes,United States,2025-12-05,Trip Verified,"Excellent return flights in Qsuites. Super comfortable, spacious, and enjoyable. Food, drink, and service was of a consistently high standard, though I find the crew are really at their best on the shorter flights than the longhaul JFK-DOH flight - they tend to check out a bit and service can be scratchy. Many crew seem to disappear, leaving just a couple of crew to deal with the entire business class. Due to the dine-on-demand system, the crew were often short-staffed and it could take some time to get service. But overall a very comfortable way to travel. Excellent IFE.",Boeing 777,Business,Business Class,New York to Nairobi via Doha,October 2025,9/10,5.0,4.0,5.0,4.0,4.0,4,yes
most professional people,S Boyle,Taiwan,2025-12-03,Trip Verified,"All fights on time. Planes clean, seats comfortable, food and service good. No complaints really, although it seems the menus offer a plethora of items which aren't always available. Found some surprising music gems in their inflight entertainment system. Could not get the wifi to work. I did not have time to check out their lounge in Doha due to the short connection time but the lounge in BKK is quite the comfortable little palace. Really impressed with their ground staff in Doha - absolutely the nicest and most professional people I have come across in my over 50 decades of flying.",,Solo Leisure,Business Class,Bangkok to Johannesburg via Doa,November 2025,9/10,5.0,5.0,5.0,5.0,5.0,5,yes
missed our connection,R Walderren,Netherlands,2025-12-02,Trip Verified,"The flight was initially delayed by four hours, which can happen but there was no communication from the airline. Because of this delay, we missed our connection and had to book a new one. They offered us a transfer 24 hours later, and refused to provide hotel accommodation, meaning our only option was to sleep on the airport floor. Lounge access was denied. We received a $20 voucher for food and drinks, which is nowhere near sufficient to cover 24 hours at an airport.",,Solo Leisure,Economy Class,Doha to Frankfurt,November 2025,1/10,3.0,3.0,1.0,3.0,1.0,1,no
outstanding cabin crew,M Collie,Ireland,2025-11-25,Not Verified,"Excellent flights. Comfortable aircraft, very good food and drink, and outstanding cabin crew. Smooth transfer at Doha, impressive airport with a “jungle” in the centre. The only disappointment was the lounge at Johannesburg. The Menzie lounge was very ordinary, in contrast with superb one at Doha",A350,Couple Leisure,Business Class,Johanesberg to Dublin via Doha,November 2025,9/10,4.0,5.0,5.0,4.0,3.0,4,yes
they deliver value for money,Charles Thompson,Australia,2025-11-24,Not Verified,"Cabin service personable, professional, attentive, efficient, welcoming, exceptionally gentle and polite; excellent dress. The 'perfect package"" that inspired admiration for excellent service over a very long shift (13+ hours); very high praise earned for a difficult job well done. Noisy PA gong sound accompanied by illuminated blue ceiling light; random and repeated to a level of high annoyance; wakens passengers trying to rest or sleep. PA communication in English excessively loud and fast; impossible to understand for an English speaker. Seat space very cramped, very uncomfortable; seats have hard arm rests. My food was not always hot; satisfactory choice; bread roll without butter; poor cuisine selection; better wine quality would be appreciated. Qatar Airways scores very well on customer service but abysmally on passenger comfort. However, for someone who is determined to travel to the other side of the world, they deliver value for money.",,Couple Leisure,Economy Class,Doha to Brisbane,November 2025,6/10,1.0,5.0,3.0,,5.0,4,no
The service was overwhelming,Antje Schulz,Germany,2025-11-23,Not Verified,"I had unfortunately severe illness on my flight (QR843 and QR071 on 21.11.25) and needed to check in more. Despite this very unexpected situation, the board staff has been incredibly polite and impressive towards me. They were both friendly, warm and have got everything done to make me feel as comfortable as possible. The service was overwhelming – from fresh towels, water and medicines and helpful words to discreet but constant communication. Despite my physically very bad situation I felt safe and well cared for thanks to the exceptionally good staff. A big thank you to the entire team on board! Ich hatte auf meinem Flug (QR843 und QR071 am 21.11.25) leider starke Übelkeit und musste mich mehrfach übergeben. Trotz dieser sehr unangenehmen Situation hat sich das Bordpersonal unglaublich fürsorglich und aufmerksam um mich gekümmert. Sie waren jederzeit freundlich, geduldig und haben alles getan, damit ich mich so wohl wie möglich fühle. Der Service war hervorragend – von frischen Tüchern,Wasser und Medikamenten und beruhigenden Worten bis hin zur diskreten, aber konstanten Aufmerksamkeit. Trotz meines körperlich sehr schlechten Zustands habe ich mich dank des außergewöhnlich guten Personals sicher und gut aufgehoben gefühlt. Ein großes Dankeschön an das gesamte Team an Bord!",,Couple Leisure,Economy Class,Phuket to Frankfurt via Doha,November 2025,10/10,3.0,5.0,5.0,4.0,5.0,5,yes
